,poem
И вдруг над нею сень шатра,
Шумя, с прохладой развернулась
Обед раскошный перед ней;
Прибор из яркого кристалла;
И в тишине из-за ветвей
Незрима арфа заиграла.
Дивится пленная княжна,
Но втайне думает она:
«Вдали от милого, в неволе,
Зачем мне жить на свете боле?
О ты, чья гибельная страсть
Меня терзает и лелеет,
Мне не страшна злодея власть:
Людмила умереть умеет!
Не нужно мне твоих шатров,
Ни скучных песен, ни пиров —
Не стану есть, не буду слушать,
Умру среди твоих садов!»
Подумала — и стала кушать.
Княжна встает, и вмиг шатер,
И пышной роскоши прибор,
И звуки арфы… все пропало;
По-прежнему все тихо стало;
Людмила вновь одна в садах
Скитается из рощи в рощи;
Меж тем в лазурных небесах
Плывет луна, царица нощи;
Находит мгла со всех сторон
И тихо на холмах почила;
Княжну невольно клонит сои.
И вдруг неведомая сила
Нежней, чем вешний ветерок,
Ее па воздух поднимает,
Несет по воздуху в чертог
И осторожно опускает
Сквозь фимиам вечерних роз
На ложе грусти, ложе слез.
Три девы вмиг опять явились
И вкруг нее засуетились,
Чтоб на ночь пышный снять убор
Но их унылый, смутный взор
И принужденное молчанье
Являли втайне состраданье
И немощный судьбам укор.
Но поспешим: рукой их нежной
Раздета сонная княжна;
Прелестна прелестью небрежной,
В одной сорочке белоснежной
Ложится почивать она.
Со вздохом девы поклонились,
Скорей как можно удалились
И тихо притворили дверь.
Что ж наша пленница теперь!
Дрожит как лист, дохнуть не смеет;
Хладеют перси, взор темнеет;
Мгновенный сон от глаз бежит;
Не спит, удвоила вниманье,
Недвижно в темноту глядит…
Всё мрачно, мертвое молчанье!
Лишь сердца слышит трепетанье…
И мнится… шепчет тишина;
Идут — идут к ее постеле;
В подушки прячется княжна —
И вдруг… о страх!., и в самом деле
Раздался шум; озарена
Мгновенным блеском тьма ночная,
Мгновенно дверь отворена;
Безмолвно, гордо выступая,
Нагими саблями сверкая,
Арапов длинный ряд идет
Попарно, чинно, сколь возможно,
И на подушках осторожно
Седую бороду несет;
И входит с важностью за нею,
Подъяв величественно шею,
Горбатый карлик из дверей:
Его-то голове обритой,
Высоким колпаком покрытой,
Принадлежала борода.
Уж он приближился: тогда
Княжна с постели соскочила,
Седого карла за колпак
Рукою быстрой ухватила,
Дрожащий занесла кулак
И в страхе завизжала так,
Что всех арапов оглушила.
Трепеща, скорчился бедняк,
Княжны испуганной бледнее;
Зажавши уши поскорее,
Хотел бежать, по в бороде
Запутался, упал и бьется;
Встает, упал; в такой беде
Арапов черный рой метется;
Шумят, толкаются, бегут,
Хватают колдуна в охапку
И вот распутывать несут,
Оставя у Людмилы шапку.
Но что-то добрый витязь наш?
Вы помните ль нежданну встречу?
Бери свой быстрый карандаш,
Рисуй, Орловский, ночь и сечу!
При свете трепетном лупы
Сразились витязи жестоко;
Сердца их гневом стеснены,
Уж копья брошены далеко,
Уже мечи раздроблены,
Кольчуги кровию покрыты,
Щиты трещат, в куски разбиты…
Они схватились на конях;
Взрывая к небу черный прах,
Под ними борзы кони бьются; .
Борцы, недвижно сплетены,
Друг друга стиснув, остаются,
Как бы к седлу пригвождены;
Их члены злобой сведены;
Переплелись и костенеют;
По жилам быстрый огнь бежит;
На вражьей груди грудь дрожит —
И вот колеблются, слабеют —
Кому-то пасть… вдруг витязь мой,
Вскипев, железною рукой
С седла наездника срывает,
Подъемлет, держит над собой
И в волны с берега бросает.
«Погибни! — грозно восклицает; —
Умри, завистник злобный мой!»
Ты догадался, мой читатель,
С кем бился доблестный Руслан:
То был кровавых битв искатель,
Рогдай, надежда киевлян,
Людмилы мрачный обожатель.
Он вдоль днепровских берегов
Искал соперника следов;
Нашел, настиг, но прежня сила
Питомцу битвы изменила,
И Руси древний удалец
В пустыне свой нашел конец.
И слышно было, что Рогдая
Тех вод русалка молодая
На хладны перси приняла
И, жадно витязя лобзая,
На дно со смехом увлекла,
И долго после, ночью темной
Бродя близ тихих берегов,
Богатыря призрак огромный
Пугал пустынных рыбаков.
ПЕСНЬ ТРЕТИЯ
Напрасно вы в тени таились
Для мирных, счастливых друзей,
Стихи мои! Вы не сокрылись
От гневных зависти очей.
Уж бледный критик, ей в услугу,
Вопрос мне сделал роковой:
Зачем Русланову подругу,
Как бы на смех ее супругу,
Зову и девой и княжной?
Ты видишь, добрый мой читатель,
Тут злобы черную печать!
Скажи, Зоил, скажи, предатель,
Ну как и что мне отвечать?
Красней, несчастный, бог с тобою!
Красней, я спорить не хочу;
Довольный тем, что прав душою,
В смиренной кротости молчу
Но ты поймешь меня, Климена,
Потупишь томные глаза,
Ты, жертва скучного Гимена…
Я вижу: тайная слеза
Падет на стих мой, сердцу внятный;
Ты покраснела, взор погас;
Вздохнула молча… вздох понятный!
Ревнивец: бойся, близок час;
Амур с Досадой своенравной
Вступили в смелый заговор,
И для главы твоей бесславной
Готов уж мстительный убор.
Уж утро хладное сияло
На темени полнощных гор;
Но в дивном замке все молчало.
В досаде скрытой Черномор,
Без шапки, в утреннем халате,
Зевал сердито на кровати.
Вокруг брады его седой
Рабы толпились молчаливы,
И нежно гребень костяной
Расчесывал ее извивы;
Меж тем, для пользы и красы,
На бесконечные усы
Лились восточны ароматы,
И кудри хитрие вились;
Как вдруг, откуда ни возьмись,
В окно влетает змий крылатый:
Гремя железной чешуей,
Он в кольца быстрые согнулся
И вдруг Наиной обернулся
Пред изумленною толпой.
«Приветствую тебя,— сказала,—
Собрат, издавна чтимый мной!
Досель я Черномора знала
Одною громкою молвой;
Но тайный рок соединяет
Теперь нас общею враждой;
Тебе опасность угрожает,
Нависла туча над тобой;
И голос оскорбленной чести
Меня к отмщению зовет».
Со взором, полным хитрой лести,
Ей карла руку подает,
Вещая: «Дивная Наина!
Мне драгоценен твой союз.
Мы посрамим коварство Финна;
Но мрачных козней не боюсь:
Противник слабый мне не страшен;
Узнай чудесный жребий мой:
Сей благодатной бородой
Недаром Черномор украшен.
Доколь власов ее седых
Враждебный меч не перерубит,
Никто из витязей лихих,
Никто из смертных не погубит
Малейших замыслов моих;
Моею будет век Людмила,
Руслан же гробу обречен!»
И мрачно ведьма повторила:
«Погибнет он! погибнет он!»
Потом три раза прошипела,
Три раза топнула ногой
И черным змием улетела.
Блистая в ризе парчевой,
Колдун, колдуньей ободренный,
Развеселясь, решился вновь
Нести к ногам девицы пленной
Усы, покорность и любовь.
Разряжен карлик бородатый,
Опять идет в ее палаты;
Проходит длинный комнат ряд:
Княжны в них нет. Он дале, в сад
В лавровый лес, к решетке сада,
Вдоль озера, вкруг водопада,
Под мостики, в беседки… нет!
Княжна ушла, пропал и след!
Кто выразит его смущенье,
И рев, и трепет исступленья!
С досады дня не взвидел он.
Раздался карлы дикий стон:
«Сюда, невольники, бегите!
Сюда, надеюсь я на вас!
Сейчас Людмилу мне сыщите!
Скорее, слышите ль? сейчас!
Не то — шутите вы со мною —
Всех удавлю вас бородою!»
Читатель, расскажу ль тебе,
Куда красавица девалась?
Всю ночь она своей судьбе
В слезах дивилась и — смеялась.
Ее пугала борода,
Но Черномор уж был известен
И был смешон, а никогда
Со смехом ужас несовместен.
Навстречу утренним лучам
Постель оставила Людмила
И взор невольный обратила
К высоким, чистым зеркалам;
Невольно кудри золотые
С лилейных плеч приподняла;
Невольно волосы густые
Рукой небрежной заплела;
Свои вчерашние наряды
Нечаянно в углу нашла;
Вздохнув, оделась и с досады
Тихонько плакать начала;
Однако с верного стекла,
Вздыхая, не сводила взора,
И девице пришло па ум,
В волненье своенравных дум,
Примерить шапку Черномора.
Всё тихо, никого здесь нет;
Никто на девушку не взглянет…
А девушке в семнадцать лет
Какая шапка не пристанет!
Рядиться никогда не лень!
Людмила шапкой завертела;
На брови, прямо, набекрень,
И задом наперед надела.
И что ж? о чудо старых дней!
Людмила в зеркале пропала;
Перевернула — перед ней
Людмила прежняя предстала;
Назад надела — снова нет;
Сняла — ив зеркале! «Прекрасно!
Добро, колдун, добро, мой свет!
Теперь мне здесь уж безопасно;
Теперь избавлюсь от хлопот!»
И шапку старого злодея
Княжна, от радости краснея,
Надела задом наперед.
Но возвратимся же к герою.
Не стыдно ль заниматься нам
Так долго шапкой, бородою,
Руслана поруча судьбам?
Свершив с Рогдаем бой жестокий,
Проехал он дремучий лес;
Пред ним открылся дол широкий
При блеске утренних небес.
Трепещет витязь поневоле:
Он видит старой битвы поле.
Вдали всё пусто; здесь и там
Желтеют кости; по холмам
Разбросаны колчаны, латы;
Где сбруя, где заржавый щит;
В костях руки здесь меч лежит;
Травой оброс там шлем косматый
И старый череп тлеет в нем;
Богатыря там остов целый
С его поверженным конем
Лежит недвижный; копья, стрелы
В сырую землю вонзены,
И мирный плющ их обвивает…
Ничто безмолвной тишины
Пустыни сей не возмущает,
И солнце с ясной вышины
Долину смерти озаряет.
Со вздохом витязь вкруг себя
Взирает грустными очами.
«О поле, поле, кто тебя
Усеял мертвыми костями?
Чей борзый конь тебя топтал
В последний час кровавой битвы?
Кто на тебе со славой пал?
Чьи небо слышало молитвы?
Зачем же, поле, смолкло ты
И поросло травой забвенья?..
Времен от вечной темноты,
Быть может, нет и мне спасенья!
Быть может, на холме немом
Поставят тихий гроб Русланов,
И струны громкие Баянов
Не будут говорить о нем!»
Но вскоре вспомнил витязь мой,
Что добрый меч герою нужен
И даже панцырь; а герой
С последней битвы безоружен.
Обходит поле он вокруг;
В кустах, среди костей забвенных,
В громаде тлеющих кольчуг,
Мечей и шлемов раздробленных
Себе доспехов ищет он.
Проснулись гул и степь немая,
Поднялся в поле треск и звон;
Он поднял щит, не выбирая,
Нашел и шлем и звонкий рог;
Но лишь меча сыскать не мог.
Долину брани объезжая,
Он видит множество мечей,
Но все легки, да слишком малы,
А князь красавец был не вялый,
Не то, что витязь наших дней.
Чтоб чем-нибудь играть от скуки,
Копье стальное взял он в руки,
Кольчугу он надел на грудь
И далее пустился в путь.
Уж побледнел закат румяный
Над усыпленною землей;
Дымятся синие туманы,
И всходит месяц золотой;
Померкла степь. Тропою темной
Задумчив едет наш Руслан
И видит: сквозь ночной туман
Вдали чернеет холм огромный,
И что-то страшное храпит.
Он ближе к холму, ближе — слышит:
Чудесный холм как будто дышит.
Руслан внимает и глядит
Бестрепетно, с покойным духом;
Но, шевеля пугливым ухом,
Конь упирается, дрожит,
Трясет упрямой головою,
И грива дыбом поднялась.
Вдруг холм, безоблачной луною
В тумане бледно озарясь,
Яснеет; смотрит храбрый князь —
И чудо видит пред собою.
Найду ли краски и слова?
Пред ним живая голова.
Огромны очи сном объяты;
Храпит, качая шлем пернатый,
И перья в темной высоте,
Как тени, ходят, развеваясь.
В своей ужасной красоте
Над мрачной степью возвышаясь,
Безмолвием окружена,
Пустыни сторож безымянной,
Руслану предстоит она
Громадой грозной и туманной.
В недоуменье хочет он
Таинственный разрушить сон.
Вблизи осматривая диво,
Объехал голову кругом
И стал пред носом молчаливо;
Щекотит ноздри копием,
И, сморщась, голова зевнула,
Глаза открыла и чихнула…
Поднялся вихорь, степь дрогнула,
Взвилася пыль; с ресниц, с усов,
С бровей слетела стая сов;
Проснулись рощи молчаливы,
Чихнуло эхо — конь ретивый
Заржал, запрыгал, отлетел,
Едва сам витязь усидел,
И вслед раздался голос шумный:
«Куда ты, витязь неразумный?
Ступай назад, я не шучу!
Как раз нахала проглочу!»
Руслан с презреньем оглянулся,
Браздами удержал коня
И с гордым видом усмехнулся.
«Чего ты хочешь от меня? —
Нахмурясь, голова вскричала. —
Вот гостя мне судьба послала!
Послушай, убирайся прочь!
Я спать хочу, теперь уж ночь,
Прощай!» Но витязь знаменитый,
Услыша грубые слова,
Воскликнул с важностью сердитой:
«Молчи, пустая голова!
Слыхал я истину, бывало:
Хоть лоб широк, да мозгу мало!
Я еду, еду, не свищу,
А как наеду, не спущу!»
Тогда, от ярости немея,
Стесненной злобой пламенея,
Надулась голова; как жар,
Кровавы очи засверкали;
Напенясь, губы задрожали,
Из уст, ушей поднялся пар —
И вдруг она, что было мочи,
Навстречу князю стала дуть;
Напрасно конь, зажмуря очи,
Склонив главу, натужа грудь,
Сквозь вихорь, дождь и сумрак ночи
Неверный продолжает путь;
Объятый страхом, ослепленный,
Он мчится вновь, изнеможенный,
Далече в поле отдохнуть.
Вновь обратиться витязь хочет —
Вновь отражен, надежды нет!
А голова ему вослед,
Как сумасшедшая, хохочет,
Гремит: «Ай, витязь! ай, герой!
Куда ты? тише, тише, стой!
Эй, витязь, шею сломишь даром;
Не трусь, наездник, и меня
Порадуй хоть одним ударом,
Пока не заморил коня».
И между тем она героя
Дразнила страшным языком.
Руслан, досаду в сердце кроя,
Грозит ей молча копием,
Трясет его рукой свободной,
И, задрожав, булат холодный
Вонзился в дерзостный язык.
И кровь из бешеного зева
Рекою побежала вмиг.
От удивленья, боли, гнева,
В минуту дерзости лишась,
На князя голова глядела,
Железо грызла и бледнела
В спокойном духе горячась,
Так иногда средь нашей сцены
Плохой питомец Мельпомены,
Внезапным свистом оглушен,
Уж ничего не видит он,
Бледнеет, ролю забывает,
Дрожит, поникнув головой,
И, заикаясь, умолкает
Перед насмешливой толпой.
Счастливым пользуясь мгновеньем,
К объятой голове смущеньем,
Как ястреб, богатырь летит
С подъятой, грозною десницей
И в щеку тяжкой рукавицей
С размаха голову разит;
И степь ударом огласилась;
Кругом росистая трава
Кровавой пеной обагрилась,
И, зашатавшись, голова
Перевернулась, покатилась,
И шлем чугунный застучал.
Тогда на месте опустелом
Меч богатырский засверкал.
Наш витязь в трепете веселом
Его схватил и к голове
По окровавленной траве
Бежит с намереньем жестоким
Ей нос и уши обрубить;
Уже Руслан готов разить,
Уже взмахнул мечом широким —
Вдруг, изумленный, внемлет он
Главы молящей жалкий стон…
И тихо меч он опускает,
В нем гнев свирепый умирает,
И мщенье бурное падет
В душе, моленьем усмиренной:
Так на долине тает лед,
Лучом полудня пораженный.
«Ты вразумил меня, герой, —
Со вздохом голова сказала, —
Твоя десница доказала,
Что я виновен пред тобой;
Отныне я тебе послушен;
Но, витязь, будь великодушен!
Достоин плача жребий мой.
И я был витязь удалой!
В кровавых битвах супостата
Себе я равного не зрел;
Счастлив, когда бы не имел
Соперником меньшого брата!
Коварный, злобный Черномор,
Ты, ты всех бед моих виною!
Семейства нашего позор,
Рожденный карлой, с бородою,
Мой дивный рост от юных дней
Не мог он без досады видеть
И стал за то в душе своей
Меня, жестокий, ненавидеть.
Я был всегда немного прост,
Хотя высок; а сей несчастный,
Имея самый глупый рост,
Умен как бес — и зол ужасно.
Притом же, знай, к моей беде,
В его чудесной бороде
Таится сила роковая,
И, всё на свете презирая,
Доколе борода цела —
Изменник не страшится зла.
Вот он однажды с видом дружбы
«Послушай, — хитро мне сказал, —
Не откажись от важной службы:
Я в черных книгах отыскал,
Что за восточными горами,
На тихих моря берегах,
В глухом подвале, под замками
Хранится меч — и что же? страх!
Я разобрал во тьме волшебной,
Что волею судьбы враждебной
Сей меч известен будет нам;
Что нас он обоих погубит:
Мне бороду мою отрубит,
Тебе главу; суди же сам,
Сколь важно нам приобретенье
Сего созданья злых духов!»
«Ну, что же? где тут затрудненье? —
Сказал я карле, — я готов;
Иду, хоть за пределы света».
И сосну на плечо взвалил,
А на другое для совета
Злодея брата посадил;
Пустился в дальную дорогу,
Шагал, шагал и, слава богу,
Как бы пророчеству назло,
Всё счастливо сначало шло.
За отдаленными горами
Нашли мы роковой подвал;
Я разметал его руками
И потаенный меч достал.
Но нет! судьба того хотела:
Меж нами ссора закипела —
И было, признаюсь, о чем!
Вопрос: кому владеть мечом?
Я спорил, карла горячился;
Бранились долго; наконец
Уловку выдумал хитрец,
Притих и будто бы смягчился.
«Оставим бесполезный спор, —
Сказал мне важно Черномор, —
Мы тем союз наш обесславим;
Рассудок в мире жить велит;
Судьбе решить мы предоставим,
Кому сей меч принадлежит.
К земле приникнем ухом оба
(Чего не выдумает злоба!),
И кто услышит первый звон,
Тот и владей мечом до гроба».
Сказал и лег на землю он.
Я сдуру также растянулся;
Лежу, не слышу ничего,
Смекая: обману его!
Но сам жестоко обманулся.
Злодей в глубокой тишине,
Привстав, на цыпочках ко мне
Подкрался сзади, размахнулся;
Как вихорь свистнул острый меч,
И прежде, чем я оглянулся,
Уж голова слетела с плеч —
И сверхъестественная сила
В ней жизни дух остановила.
Мой остов тернием оброс;
Вдали, в стране, людьми забвенной,
Истлел мой прах непогребенный;
Но злобный карла перенес
Меня в сей край уединенный,
Где вечно должен был стеречь
Тобой сегодня взятый меч.
О витязь! Ты храним судьбою,
Возьми его, и бог с тобою!
Быть может, на своем пути
Ты карлу-чародея встретишь —
Ах, если ты его заметишь,
Коварству, злобе отомсти!
И наконец я счастлив буду,
Спокойно мир оставлю сей —
И в благодарности моей
Твою пощечину забуду».
ПЕСНЬ ЧЕТВЕРТАЯ
Я каждый день, восстав от сна,
Благодарю сердечно бога
За то, что в наши времена
Волшебников не так уж много.
К тому же — честь и слава им! —
Женитьбы наши безопасны…
Их замыслы не так ужасны
Мужьям, девицам молодым.
Но есть волшебники другие,
Которых ненавижу я:
Улыбка, очи голубые
И голос милый — о друзья!
Не верьте им: они лукавы!
Страшитесь, подражая мне,
Их упоительной отравы
И почивайте в тишине.
Поэзии чудесный гений,
Певец таинственных видений,
Любви, мечтаний и чертей,
Могил и рая верный житель,
И музы ветреной моей
Наперсник, пестун и хранитель!
Прости мне, северный Орфей,
Что в повести моей забавной
Теперь вослед тебе лечу
И лиру музы своенравной
Во лжи прелестной обличу.
Друзья мои, вы все слыхали,
Как бесу в древни дни злодей
Предал сперва себя с печали,
А там и души дочерей;
Как после щедрым подаяньем,
Молитвой, верой, и постом,
И непритворным покаяньем
Снискал заступника в святом;
Как умер он и как заснули
Его двенадцать дочерей:
И нас пленили, ужаснули
Картины тайных сих ночей,
Сии чудесные виденья,
Сей мрачный бес, сей божий гнев,
Живые грешника мученья
И прелесть непорочных дев.
Мы с ними плакали, бродили
Вокруг зубчатых замка стен,
И сердцем тронутым любили
Их тихий сон, их тихий плен;
Душой Вадима призывали,
И пробужденье зрели их,
И часто инокинь святых
На гроб отцовский провожали.
И что ж, возможно ль?.. нам солгали!
Но правду возвещу ли я?..1)
1) Это место в первом издании читалось так:
Дерзну ли истину вещать?
Дерзну ли ясно описать
Не монастырь уединённый,
Не робких инокинь собор,
Но… трепещу! в душе смущенный,
Дивлюсь — и потупляю взор.
Младой Ратмир, направя к югу
Нетерпеливый бег коня,
Уж думал пред закатом дня
Нагнать Русланову супругу.
Но день багряный вечерел;
Напрасно витязь пред собою
В туманы дальние смотрел:
Всё было пусто над рекою.
Зари последний луч горел
Над ярко позлащенным бором.
Наш витязь мимо черных скал
Тихонько проезжал и взором
Ночлега меж дерев искал.
Он на долину выезжает
И видит: замок на скалах
Зубчаты стены возвышает;
Чернеют башни на углах;
И дева по стене высокой,
Как в море лебедь одинокий,
Идет, зарей освещена;
И девы песнь едва слышна
Долины в тишине глубокой.
«Ложится в поле мрак ночной;
От волн поднялся ветер хладный.
Уж поздно, путник молодой!
Укройся в терем наш отрадный.
Здесь ночью нега и покой,
А днем и шум и пированье.
Приди на дружное призванье,
Приди, о путник молодой!
У нас найдешь красавиц рой;
Их нежны речи и лобзанье.
Приди на тайное призванье,
Приди, о путник молодой!
Тебе мы с утренней зарей
Наполним кубок на прощанье.
Приди на мирное призванье,
Приди, о путник молодой!
Ложится в поле мрак ночной;
От волн поднялся ветер хладный.
Уж поздно, путник молодой!
Укройся в терем наш отрадный».
Она манит, она поет;
И юный хан уж под стеною;
Его встречают у ворот
Девицы красные толпою;
При шуме ласковых речей
Он окружен; с него не сводят
Они пленительных очей;
Две девицы коня уводят;
В чертоги входит хан младой,
За ним отшельниц милых рой;
Одна снимает шлем крылатый,
Другая кованые латы,
Та меч берет, та пыльный щит;
Одежда неги заменит
Железные доспехи брани.
Но прежде юношу ведут
К великолепной русской бане.
Уж волны дымные текут
В ее серебряные чаны,
И брызжут хладные фонтаны;
Разостлан роскошью ковер;
На нем усталый хан ложится;
Прозрачный пар над ним клубится;
Потупя неги полный взор,
Прелестные, полунагие,
В заботе нежной и немой,
Вкруг хана девы молодые
Теснятся резвою толпой.
Над рыцарем иная машет
Ветвями молодых берез,
И жар от них душистый пашет;
Другая соком вешних роз
Усталы члены прохлаждает
И в ароматах потопляет
Темнокудрявые власы.
Восторгом витязь упоенный
Уже забыл Людмилы пленной
Недавно милые красы;
Томится сладостным желаньем;
Бродящий взор его блестит,
И, полный страстным ожиданьем,
Он тает сердцем, он горит.
Но вот выходит он из бани.
Одетый в бархатные ткани,
В кругу прелестных дев, Ратмир
Садится за богатый пир.
Я не Омер: в стихах высоких
Он может воспевать один
Обеды греческих дружин,
И звон, и пену чаш глубоких,
Милее, по следам Парни,
Мне славить лирою небрежной
И наготу в ночной тени,
И поцелуй любови нежной!
Луною замок озарен;
Я вижу терем отдаленный,
Где витязь томный, воспаленный
Вкушает одинокий сон;
Его чело, его ланиты
Мгновенным пламенем горят;
Его уста полуоткрыты
Лобзанье тайное манят;
Он страстно, медленно вздыхает,
Он видит их — и в пылком сне
Покровы к сердцу прижимает.
Но вот в глубокой тишине
Дверь отворилась; пол ревнивый
Скрыпит под ножкой торопливой,
И при серебряной луне
Мелькнула дева. Сны крылаты,
Сокройтесь, отлетите прочь!
Проснись — твоя настала ночь!
Проснися — дорог миг утраты!..
Она подходит, он лежит
И в сладострастной неге дремлет;
Покров его с одра скользит,
И жаркий пух чело объемлет.
В молчанье дева перед ним
Стоит недвижно, бездыханна,
Как лицемерная Диана
Пред милым пастырем своим;
И вот она, на ложе хана
Коленом опершись одним,
Вздохнув, лицо к нему склоняет
С томленьем, с трепетом живым,
И сон счастливца прерывает
Лобзаньем страстным и немым…
Но, други, девственная лира
Умолкла под моей рукой;
Слабеет робкий голос мой —
Оставим юного Ратмира;
Не смею песней продолжать:
Руслан нас должен занимать,
Руслан, сей витязь беспримерный,
В душе герой, любовник верный.
Упорным боем утомлен,
Под богатырской головою
Он сладостный вкушает сон.
Но вот уж раннею зарею
Сияет тихий небосклон;
Всё ясно; утра луч игривый
Главы косматый лоб златит.
Руслан встает, и конь ретивый
Уж витязя стрелою мчит.
И дни бегут; желтеют нивы;
С дерев спадает дряхлый лист;
В лесах осенний ветра свист
Певиц пернатых заглушает;
Тяжелый, пасмурный туман
Нагие холмы обвивает;
Зима приближилась — Руслан
Свой путь отважно продолжает
На дальный север; с каждым днем
Преграды новые встречает:
То бьется он с богатырем,
То с ведьмою, то с великаном,
То лунной ночью видит он,
Как будто сквозь волшебный сон,
Окружены седым туманом,
Русалки, тихо на ветвях
Качаясь, витязя младого
С улыбкой хитрой на устах
Манят, не говоря ни слова…
Но, тайным промыслом храним,
Бесстрашный витязь невредим;
В его душе желанье дремлет,
Он их не видит, им не внемлет,
Одна Людмила всюду с ним.
Но между тем, никем не зрима,
От нападений колдуна
Волшебной шапкою хранима,
Что делает моя княжна,
Моя прекрасная Людмила?
Она, безмолвна и уныла,
Одна гуляет по садам,
О друге мыслит и вздыхает,
Иль, волю дав своим мечтам,
К родимым киевским полям
В забвенье сердца улетает;
Отца и братьев обнимает,
Подружек видит молодых
И старых мамушек своих —
Забыты плен и разлученье!
Но вскоре бедная княжна
Свое теряет заблужденье
И вновь уныла и одна.
Рабы влюбленного злодея,
И день и ночь, сидеть не смея,
Меж тем по замку, по садам
Прелестной пленницы искали,
Метались, громко призывали,
Однако всё по пустякам.
Людмила ими забавлялась:
В волшебных рощах иногда
Без шапки вдруг она являлась
И кликала: «Сюда, сюда!»
И все бросались к ней толпою;
Но в сторону — незрима вдруг —
Она неслышною стопою
От хищных убегала рук.
Везде всечасно замечали
Ее минутные следы:
То позлащенные плоды
На шумных ветвях исчезали,
То капли ключевой воды
На луг измятый упадали:
Тогда наверно в замке знали,
Что пьет иль кушает княжна.
На ветвях кедра иль березы
Скрываясь по ночам, она
Минутного искала сна —
Но только проливала слезы,
Звала супруга и покой,
Томилась грустью и зевотой,
И редко, редко пред зарей,
Склонясь ко древу головой,
Дремала тонкою дремотой;
Едва редела ночи мгла,
Людмила к водопаду шла
Умыться хладною струею:
Сам карла утренней порою
Однажды видел из палат,
Как под невидимой рукою
Плескал и брызгал водопад.
С своей обычною тоскою
До новой ночи, здесь и там,
Она бродила по садам:
Нередко под вечер слыхали
Ее приятный голосок;
Нередко в рощах поднимали
Иль ею брошенный венок,
Или клочки персидской шали,
Или заплаканный платок.
Жестокой страстью уязвленный,
Досадой, злобой омраченный,
Колдун решился наконец
Поймать Людмилу непременно.
Так Лемноса хромой кузнец,
Прияв супружеский венец
Из рук прелестной Цитереи,
Раскинул сеть ее красам,
Открыв насмешливым богам
Киприды нежные затеи…
Скучая, бедная княжна
В прохладе мраморной беседки
